Nom Reg,Code Reg,Comuna,Code comuna,Distrito,N Constituyentes,N de Candidatos,Pob Comuna,Pob Distrito,ppm
Valparaíso,5,Calera,5502,6,8,71,53.591,1.017.392,8
Valparaíso,5,Quillota,5501,6,8,71,97.572,1.017.392,8
Valparaíso,5,Zapallar,5405,6,8,71,7.994,1.017.392,8
Valparaíso,5,Petorca,5404,6,8,71,10.558,1.017.392,8
Valparaíso,5,Papudo,5403,6,8,71,6.201,1.017.392,8
Valparaíso,5,Cabildo,5402,6,8,71,20.663,1.017.392,8
Valparaíso,5,La Ligua,5401,6,8,71,37.739,1.017.392,8
Valparaíso,5,San Esteban,5304,6,8,71,20.643,1.017.392,8
Valparaíso,5,Rinconada,5303,6,8,71,11.263,1.017.392,8
Valparaíso,5,Calle Larga,5302,6,8,71,16.482,1.017.392,8
Valparaíso,5,Los Andes,5301,6,8,71,68.093,1.017.392,8
Valparaíso,5,Quintero,5107,6,8,71,36.135,1.017.392,8
Valparaíso,5,Puchuncavi,5105,6,8,71,20.071,1.017.392,8
Valparaíso,5,Santo Domingo,5606,7,8,77,11.934,942.778,8
Valparaíso,5,El Tabo,5605,7,8,77,14.338,942.778,8
Valparaíso,5,El Quisco,5604,7,8,77,17.742,942.778,8
Valparaíso,5,Cartagena,5603,7,8,77,25.357,942.778,8
Valparaíso,5,Algarrobo,5602,7,8,77,15.174,942.778,8
Valparaíso,5,San Antonio,5601,7,8,77,96.761,942.778,8
Valparaíso,5,Isla de Pascua,5201,7,8,77,8.277,942.778,8
Valparaíso,5,Viña del Mar,5109,7,8,77,361.371,942.778,8
Valparaíso,5,Juan Fernandez,5104,7,8,77,1.033,942.778,8
Valparaíso,5,Concon,5103,7,8,77,45.889,942.778,8
Valparaíso,5,Casablanca,5102,7,8,77,29.170,942.778,8
Valparaíso,5,Valparaiso,5101,7,8,77,315.732,942.778,8
Metropolitana,13,Tiltil,13303,8,8,59,21.477,1.710.914,5
Metropolitana,13,Lampa,13302,8,8,59,126.898,1.710.914,5
Metropolitana,13,Colina,13301,8,8,59,180.353,1.710.914,5
Metropolitana,13,Quilicura,13125,8,8,59,254.694,1.710.914,5
Metropolitana,13,Pudahuel,13124,8,8,59,253.139,1.710.914,5
Metropolitana,13,Maipu,13119,8,8,59,578.605,1.710.914,5
Metropolitana,13,Estacion Central,13106,8,8,59,206.792,1.710.914,5
Metropolitana,13,Cerrillos,13102,8,8,59,88.956,1.710.914,5
Metropolitana,13,Renca,13128,9,7,56,160.847,1.127.946,6
Metropolitana,13,Recoleta,13127,9,7,56,190.075,1.127.946,6
Metropolitana,13,Quinta Normal,13126,9,7,56,136.368,1.127.946,6
Metropolitana,13,Lo Prado,13117,9,7,56,104.403,1.127.946,6
Metropolitana,13,Independencia,13108,9,7,56,142.065,1.127.946,6
Metropolitana,13,Huechuraba,13107,9,7,56,112.528,1.127.946,6
Metropolitana,13,Conchali,13104,9,7,56,139.195,1.127.946,6
Metropolitana,13,Cerro Navia,13103,9,7,56,142.465,1.127.946,6
Metropolitana,13,San Joaquin,13129,10,7,78,103.485,1.271.765,6
Metropolitana,13,Providencia,13123,10,7,78,157.749,1.271.765,6
Metropolitana,13,Ñuñoa,13120,10,7,78,250.192,1.271.765,6
Metropolitana,13,Macul,13118,10,7,78,134.635,1.271.765,6
Metropolitana,13,La Granja,13111,10,7,78,122.557,1.271.765,6
Metropolitana,13,Santiago,13101,10,7,78,503.147,1.271.765,6
Metropolitana,13,Vitacura,13132,11,6,59,96.774,918.659,7
Metropolitana,13,Peñalolen,13122,11,6,59,266.798,918.659,7
Metropolitana,13,Lo Barnechea,13115,11,6,59,124.076,918.659,7
Metropolitana,13,Las Condes,13114,11,6,59,330.759,918.659,7
Metropolitana,13,La Reina,13113,11,6,59,100.252,918.659,7
Metropolitana,13,San Jose de Maipo,13203,12,7,63,18.644,1.286.754,5
Metropolitana,13,Pirque,13202,12,7,63,30.433,1.286.754,5
Metropolitana,13,Puente Alto,13201,12,7,63,645.909,1.286.754,5
Metropolitana,13,La Pintana,13112,12,7,63,189.335,1.286.754,5
Metropolitana,13,La Florida,13110,12,7,63,402.433,1.286.754,5
Metropolitana,13,San Ramon,13131,13,5,50,86.510,703.671,7
Metropolitana,13,San Miguel,13130,13,5,50,133.059,703.671,7
Metropolitana,13,Pedro Aguirre Cerda,13121,13,5,50,107.803,703.671,7
Metropolitana,13,Lo Espejo,13116,13,5,50,103.865,703.671,7
Metropolitana,13,La Cisterna,13109,13,5,50,100.434,703.671,7
Metropolitana,13,El Bosque,13105,13,5,50,172.000,703.671,7
Metropolitana,13,Peñaflor,13605,14,6,31,101.058,1.105.363,5
Metropolitana,13,Padre Hurtado,13604,14,6,31,74.188,1.105.363,5
Metropolitana,13,Isla de Maipo,13603,14,6,31,40.171,1.105.363,5
Metropolitana,13,El Monte,13602,14,6,31,40.014,1.105.363,5
Metropolitana,13,Talagante,13601,14,6,31,81.838,1.105.363,5
Metropolitana,13,San Pedro,13505,14,6,31,11.953,1.105.363,5
Metropolitana,13,Maria Pinto,13504,14,6,31,14.926,1.105.363,5
Metropolitana,13,Curacavi,13503,14,6,31,36.430,1.105.363,5
Metropolitana,13,Alhue,13502,14,6,31,7.405,1.105.363,5
